created_at;Time;E/L;Broker id;Broker name
13.05.2021;0:12:30;L;3243;Broker1
13.05.2021;1:02:55;L;3243;Broker1
13.05.2021;2:15:13;L;3243;Broker1
13.05.2021;3:56:30;L;3243;Broker1
13.05.2021;6:41:26;L;3243;Broker1
13.05.2021;7:22:29;L;3243;Broker1
13.05.2021;10:49:50;L;3243;Broker1
13.05.2021;10:50:51;L;3243;Broker1
13.05.2021;12:00:56;L;3243;Broker1
13.05.2021;12:01:00;L;3243;Broker1
13.05.2021;12:01:13;L;3243;Broker1
13.05.2021;12:01:26;L;3243;Broker1
13.05.2021;12:01:27;L;3243;Broker1
13.05.2021;12:01:45;L;3243;Broker1
13.05.2021;12:01:52;L;3243;Broker1
13.05.2021;12:01:57;L;3243;Broker1
13.05.2021;12:02:16;L;3243;Broker1
13.05.2021;12:02:20;L;3243;Broker1
13.05.2021;12:03:06;L;3243;Broker1
13.05.2021;12:03:26;L;3243;Broker1
13.05.2021;12:10:25;L;3243;Broker1
13.05.2021;12:19:12;L;3243;Broker1
13.05.2021;12:19:24;L;3243;Broker1
13.05.2021;12:19:29;L;3243;Broker1
13.05.2021;12:21:02;L;3243;Broker1
13.05.2021;12:23:09;L;3243;Broker1
13.05.2021;12:45:06;L;3243;Broker1
13.05.2021;13:17:56;L;3243;Broker1
13.05.2021;13:20:48;L;3243;Broker1
13.05.2021;13:29:58;L;3243;Broker1
13.05.2021;13:52:19;L;3243;Broker1
13.05.2021;14:07:34;L;3243;Broker1
13.05.2021;14:20:51;L;3243;Broker1
13.05.2021;14:21:52;L;3243;Broker1
13.05.2021;14:33:22;L;3243;Broker1
13.05.2021;14:35:06;L;3243;Broker1
13.05.2021;14:38:25;L;3243;Broker1
13.05.2021;14:48:56;L;3243;Broker1
13.05.2021;15:03:03;L;3243;Broker1
13.05.2021;15:04:45;L;3243;Broker1
13.05.2021;15:05:54;L;3243;Broker1
13.05.2021;15:07:08;L;3243;Broker1
13.05.2021;15:09:05;L;3243;Broker1
13.05.2021;15:09:13;L;3243;Broker1
13.05.2021;15:10:19;L;3243;Broker1
13.05.2021;15:10:49;L;3243;Broker1
13.05.2021;15:11:27;L;3243;Broker1
13.05.2021;15:12:46;L;3243;Broker1
13.05.2021;15:14:13;L;3243;Broker1
13.05.2021;15:15:11;L;3243;Broker1
13.05.2021;15:15:37;L;3243;Broker1
13.05.2021;15:18:59;L;3243;Broker1
13.05.2021;15:21:33;L;3243;Broker1
13.05.2021;15:29:13;L;3243;Broker1
13.05.2021;15:40:14;L;3243;Broker1
13.05.2021;15:40:21;L;3243;Broker1
13.05.2021;15:40:36;L;3243;Broker1
13.05.2021;15:40:52;L;3243;Broker1
13.05.2021;15:43:41;L;3243;Broker1
13.05.2021;15:47:41;L;3243;Broker1
13.05.2021;15:47:57;L;3243;Broker1
13.05.2021;15:51:28;L;3243;Broker1
13.05.2021;15:51:30;L;3243;Broker1
13.05.2021;15:53:22;L;3243;Broker1
13.05.2021;15:53:55;L;3243;Broker1
13.05.2021;15:56:21;L;3243;Broker1
13.05.2021;16:03:09;L;3243;Broker1
13.05.2021;16:06:38;L;3243;Broker1
13.05.2021;16:11:46;L;3243;Broker1
13.05.2021;16:12:36;L;3243;Broker1
13.05.2021;16:14:05;L;3243;Broker1
13.05.2021;16:15:41;L;3243;Broker1
13.05.2021;16:16:50;L;3243;Broker1
13.05.2021;16:20:06;L;3243;Broker1
13.05.2021;16:20:32;L;3243;Broker1
13.05.2021;16:20:35;L;3243;Broker1
13.05.2021;16:21:39;L;3243;Broker1
13.05.2021;16:22:17;L;3243;Broker1
13.05.2021;16:24:09;L;3243;Broker1
13.05.2021;16:24:57;L;3243;Broker1
13.05.2021;16:26:13;L;3243;Broker1
13.05.2021;16:28:29;L;3243;Broker1
13.05.2021;16:31:15;L;3243;Broker1
13.05.2021;16:31:31;L;3243;Broker1
13.05.2021;16:36:09;L;3243;Broker1
13.05.2021;16:40:49;L;3243;Broker1
13.05.2021;16:42:08;L;3243;Broker1
13.05.2021;16:42:30;L;3243;Broker1
13.05.2021;16:42:45;L;3243;Broker1
13.05.2021;16:47:40;L;3243;Broker1
13.05.2021;16:48:28;L;3243;Broker1
13.05.2021;16:49:52;L;3243;Broker1
13.05.2021;16:51:25;L;3243;Broker1
13.05.2021;16:53:06;L;3243;Broker1
13.05.2021;16:53:18;L;3243;Broker1
14.05.2021;0:02:10;L;3243;Broker1
14.05.2021;0:46:26;L;3243;Broker1
14.05.2021;1:01:27;L;3243;Broker1
14.05.2021;1:35:28;L;3243;Broker1
14.05.2021;1:39:36;L;3243;Broker1
14.05.2021;1:50:26;L;3243;Broker1
14.05.2021;1:51:24;L;3243;Broker1
14.05.2021;2:05:49;L;3243;Broker1
14.05.2021;2:22:28;L;3243;Broker1
14.05.2021;2:32:21;L;3243;Broker1
14.05.2021;3:48:01;L;3243;Broker1
14.05.2021;4:23:57;L;3243;Broker1
14.05.2021;5:04:04;L;3243;Broker1
14.05.2021;12:04:26;L;3243;Broker1
14.05.2021;12:04:42;L;3243;Broker1
14.05.2021;12:04:44;L;3243;Broker1
14.05.2021;12:09:14;L;3243;Broker1
14.05.2021;12:09:17;L;3243;Broker1
14.05.2021;12:19:13;L;3243;Broker1
14.05.2021;13:05:52;L;3243;Broker1
14.05.2021;13:07:06;L;3243;Broker1
14.05.2021;13:07:39;L;3243;Broker1
14.05.2021;13:11:38;L;3243;Broker1
14.05.2021;13:26:07;L;3243;Broker1
14.05.2021;13:31:41;L;3243;Broker1
14.05.2021;13:32:49;L;3243;Broker1
14.05.2021;13:36:08;L;3243;Broker1
14.05.2021;13:37:21;L;3243;Broker1
14.05.2021;13:41:14;L;3243;Broker1
14.05.2021;13:54:34;L;3243;Broker1
14.05.2021;14:01:20;L;3243;Broker1
14.05.2021;14:04:10;L;3243;Broker1
14.05.2021;14:06:39;L;3243;Broker1
14.05.2021;14:51:04;L;3243;Broker1
14.05.2021;14:59:00;L;3243;Broker1
14.05.2021;15:15:16;L;3243;Broker1
14.05.2021;15:29:15;L;3243;Broker1
14.05.2021;15:33:18;L;3243;Broker1
14.05.2021;15:37:43;L;3243;Broker1
14.05.2021;15:42:12;L;3243;Broker1
14.05.2021;15:51:03;L;3243;Broker1
14.05.2021;16:02:44;L;3243;Broker1
14.05.2021;16:08:05;L;3243;Broker1
14.05.2021;16:38:39;L;3243;Broker1
14.05.2021;17:58:18;L;3243;Broker1
14.05.2021;18:21:51;L;3243;Broker1
14.05.2021;18:23:49;L;3243;Broker1
14.05.2021;18:37:14;L;3243;Broker1
14.05.2021;19:04:30;L;3243;Broker1
14.05.2021;19:33:17;L;3243;Broker1
14.05.2021;19:34:08;L;3243;Broker1
14.05.2021;19:44:59;L;3243;Broker1
14.05.2021;20:21:07;L;3243;Broker1
14.05.2021;20:30:33;L;3243;Broker1
14.05.2021;20:41:19;L;3243;Broker1
14.05.2021;20:51:01;L;3243;Broker1
14.05.2021;20:57:07;L;3243;Broker1
14.05.2021;21:47:40;L;3243;Broker1
14.05.2021;23:19:17;L;3243;Broker1
15.05.2021;0:19:26;L;3243;Broker1
15.05.2021;0:25:28;L;3243;Broker1
15.05.2021;0:46:41;L;3243;Broker1
15.05.2021;0:54:13;L;3243;Broker1
15.05.2021;0:59:22;L;3243;Broker1
15.05.2021;1:08:42;L;3243;Broker1
15.05.2021;1:30:51;L;3243;Broker1
15.05.2021;1:37:39;L;3243;Broker1
15.05.2021;3:00:31;L;3243;Broker1
15.05.2021;3:21:05;L;3243;Broker1
15.05.2021;5:42:47;L;3243;Broker1
15.05.2021;7:35:09;L;3243;Broker1
15.05.2021;7:51:38;L;3243;Broker1
15.05.2021;11:06:44;L;3243;Broker1
15.05.2021;11:06:53;L;3243;Broker1
15.05.2021;11:15:25;L;3243;Broker1
15.05.2021;11:25:57;L;3243;Broker1
15.05.2021;11:28:16;L;3243;Broker1
15.05.2021;12:23:33;L;3243;Broker1
15.05.2021;12:49:38;L;3243;Broker1
15.05.2021;12:51:09;L;3243;Broker1
15.05.2021;13:20:44;L;3243;Broker1
15.05.2021;13:42:05;L;3243;Broker1
15.05.2021;13:51:38;L;3243;Broker1
15.05.2021;13:57:38;L;3243;Broker1
15.05.2021;19:54:47;L;3243;Broker1
15.05.2021;20:44:46;L;3243;Broker1
15.05.2021;21:08:37;L;3243;Broker1
15.05.2021;21:25:17;L;3243;Broker1
17.05.2021;0:07:59;L;3243;Broker1
17.05.2021;10:59:23;L;3243;Broker1
17.05.2021;11:00:14;L;3243;Broker1
17.05.2021;11:00:23;L;3243;Broker1
17.05.2021;11:00:33;L;3243;Broker1
17.05.2021;11:03:18;L;3243;Broker1
17.05.2021;11:05:08;L;3243;Broker1
17.05.2021;11:06:07;L;3243;Broker1
17.05.2021;11:08:55;L;3243;Broker1
